iter	Passed	Remaining
0	62	62213
1	62	31421
2	63	21122
3	64	15958
4	64	12874
5	65	10813
6	65	9347
7	66	8251
8	67	7391
9	67	6697
10	68	6137
11	68	5668
12	69	5268
13	69	4925
14	70	4639
15	71	4378
16	71	4147
17	72	3941
18	72	3756
19	73	3587
20	73	3436
21	74	3298
22	74	3173
23	75	3062
24	75	2961
25	76	2863
26	76	2772
27	77	2689
28	78	2614
29	78	2543
30	79	2475
31	79	2412
32	80	2355
33	80	2300
34	81	2248
35	82	2200
36	82	2153
37	83	2110
38	83	2068
39	84	2026
40	84	1987
41	85	1950
42	86	1917
43	86	1882
44	87	1849
45	87	1817
46	88	1787
47	88	1758
48	89	1730
49	89	1703
50	90	1678
51	90	1653
52	91	1630
53	91	1608
54	92	1586
55	92	1564
56	93	1543
57	93	1522
58	94	1503
59	94	1486
60	95	1468
61	96	1452
62	96	1436
63	97	1420
64	97	1404
65	98	1388
66	98	1373
67	99	1357
68	99	1343
69	100	1328
70	100	1314
71	100	1301
72	101	1290
73	102	1279
74	102	1268
75	103	1258
76	103	1246
77	104	1234
78	104	1222
79	105	1211
80	105	1200
81	106	1189
82	106	1178
83	107	1169
84	107	1161
85	108	1151
86	108	1142
87	109	1133
88	109	1124
89	110	1116
90	110	1107
91	111	1098
92	111	1090
93	112	1084
94	113	1077
95	113	1070
96	114	1062
97	114	1056
98	115	1049
99	115	1042
100	116	1035
101	116	1028
102	117	1022
103	118	1016
104	118	1010
105	118	1003
106	119	997
107	120	992
108	120	986
109	121	980
110	121	974
111	122	969
112	122	964
113	123	959
114	124	955
115	124	949
116	125	943
117	125	939
118	126	934
119	126	929
120	127	924
121	127	919
122	128	915
123	128	910
124	129	905
125	129	901
126	130	895
127	130	891
128	131	886
129	131	882
130	132	878
131	132	873
132	133	870
133	134	866
134	134	862
135	135	858
136	135	854
137	136	849
138	136	845
139	137	841
140	137	837
141	137	833
142	138	830
143	139	826
144	139	824
145	140	821
146	140	818
147	141	814
148	142	811
149	142	808
150	143	805
151	143	803
